mass,x,y,z,vx,vy,vz
0.01,-0.048469719228936906,-0.04217080091150882,-0.016932139523244173,-0.6392725259606232,0.11491864986941785,-0.4701958496922051
0.01,-0.5594729413736482,-2.3443380960024,0.2938983643358098,-0.08265742713097494,-0.2625387825092004,0.17305155738769742
0.01,0.5851979095117356,-0.8899599958863555,0.5790328824920007,0.0691256230094447,0.24392691411149145,-0.04799147067964877
0.01,-0.12349208295530774,0.0316918523847306,0.30801260138924,-0.6939931186826181,0.3277688292488683,-0.2638698414047387
0.01,0.005008119714414666,1.4773726212018303,0.5455170427008534,-0.010657665619997753,0.2788233059783148,0.4196590262174193
0.01,-0.16194377882958538,0.25604826794123714,0.2099816459089,-0.5584584495579863,-0.24017611732004873,0.45255013456724735
0.01,0.08691484181097252,0.6575795555512719,0.8228897827336284,-0.3593356366218015,0.044713723870839064,0.1411338681490622
0.01,0.44551047594521115,1.754272733567418,1.5351990232759787,-0.18254230881097805,0.2314526318824467,0.25379273375095834
0.01,0.3029963168412498,-0.12609528868138972,-0.07980868897772649,0.5751263587561554,-0.2985919371127613,0.13758319102124109
0.01,0.4335584173309554,0.3262219193049872,-0.5787597316430748,0.41138196904220115,-0.08421637022721346,-0.7358704556963019
0.01,0.7387895418208802,-0.19722676185267835,0.7569857594651109,-0.09570488230898835,-0.2717726665081009,-0.15492684420029537
0.01,-0.2013439082571157,-0.07011204572374316,0.34792931542717603,-0.5192245074959531,0.41661855452397034,-0.3177310875786052
0.01,0.021279725036535347,-0.08964581085751205,-1.2602498390442756,-0.2564495112364329,-0.6241550261940082,0.21635867063473613
0.01,1.1026312179107838,0.7361288844924644,-0.33143826195302983,-0.11509800864585831,0.11631475213313172,0.3785745509136142
0.01,0.14504905468475843,0.13570052987218606,0.10004452810757593,0.24239618601658314,-0.25600563328636794,-0.0405859491985132
0.01,0.7733347681268576,1.0784148596437144,-0.018128727564302425,-0.3094630285303803,-0.3428865966357123,0.11394806900911225
0.01,-0.026096113669322754,0.4504900807107559,0.584959193951795,-0.15135043754722058,-0.319565243386073,-0.8053892841161154
0.01,-0.18852555749350666,-0.16115416503228983,0.006960525808614869,-0.7458562923351324,-0.8160876188939215,-0.11762375254893671
0.01,-0.4571588249076617,0.5692474312926369,0.04321145691731657,-0.4457692737144593,0.6465182150139539,-0.2885863813771425
